checkpoint,configuration,seed,sample_id,target_text,predicted_text,normalized_target,normalized_prediction,filename,asr_status,asr_seconds,wer,cer,word_accuracy_proxy,character_accuracy_proxy
2500,greedy,3407,1,"नमस्ते, आपका ऑर्डर सफलतापूर्वक भेज दिया गया है।",नमस्ति आपका आजड़िय बहुग घरे दिया गया गया हा।,नमस्ते आपका ऑर्डर सफलतापूर्वक भेज दिया गया है,नमस्ति आपका आजड़िय बहुग घरे दिया गया गया हा,step_2500/greedy/seed_3407/step2500_greedy_seed3407_01_namaste_order_sent.wav,success,1.5857126712799072,0.75,0.5333333333333333,0.25,0.4666666666666667
2500,greedy,3407,2,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा।,आनका रिल्म धन्नने पांच चकारेदों में आपके खाते में दबे ले जई आई गरे आई।,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा,आनका रिल्म धन्नने पांच चकारेदों में आपके खाते में दबे ले जई आई गरे आई,step_2500/greedy/seed_3407/step2500_greedy_seed3407_02_refund_status.wav,success,0.7820565700531006,0.8571428571428571,0.4782608695652174,0.1428571428571429,0.5217391304347826
2500,greedy,3407,3,क्या मैं आपकी किसी और सहायता कर सकता हूँ?,क्या मैं आपके किसी और सर अता कर सकूं।,क्या मैं आपकी किसी और सहायता कर सकता हूँ,क्या मैं आपके किसी और सर अता कर सकूं,step_2500/greedy/seed_3407/step2500_greedy_seed3407_03_further_assistance.wav,success,0.5128324031829834,0.5555555555555556,0.225,0.4444444444444444,0.775
2500,greedy,3407,4,धन्यवाद! आपका दिन शुभ हो।,तन्नावाद आपगा दिन शेह है।,धन्यवाद आपका दिन शुभ हो,तन्नावाद आपगा दिन शेह है,step_2500/greedy/seed_3407/step2500_greedy_seed3407_04_thank_you.wav,success,0.4868028163909912,0.8,0.30434782608695654,0.19999999999999996,0.6956521739130435
2500,greedy,3407,5,कृपया अपना ऑर्डर नंबर बताइए।,कुरेपया अपना आडरन मर बठलाई थे।,कृपया अपना ऑर्डर नंबर बताइए,कुरेपया अपना आडरन मर बठलाई थे,step_2500/greedy/seed_3407/step2500_greedy_seed3407_05_order_number.wav,success,0.5231325626373291,1.0,0.5555555555555556,0.0,0.4444444444444444
2500,greedy,4107,1,"नमस्ते, आपका ऑर्डर सफलतापूर्वक भेज दिया गया है।",नमस्ति आपका आजड़िय बहुग घरे दिया गया गया हा।,नमस्ते आपका ऑर्डर सफलतापूर्वक भेज दिया गया है,नमस्ति आपका आजड़िय बहुग घरे दिया गया गया हा,step_2500/greedy/seed_4107/step2500_greedy_seed4107_01_namaste_order_sent.wav,success,0.618302583694458,0.75,0.5333333333333333,0.25,0.4666666666666667
2500,greedy,4107,2,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा।,आनका रिल्म धन्नने पांच चकारेदों में आपके खाते में दबे ले जई आई गरे आई।,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा,आनका रिल्म धन्नने पांच चकारेदों में आपके खाते में दबे ले जई आई गरे आई,step_2500/greedy/seed_4107/step2500_greedy_seed4107_02_refund_status.wav,success,0.7860305309295654,0.8571428571428571,0.4782608695652174,0.1428571428571429,0.5217391304347826
2500,greedy,4107,3,क्या मैं आपकी किसी और सहायता कर सकता हूँ?,क्या मैं आपके किसी और सर अता कर सकूं।,क्या मैं आपकी किसी और सहायता कर सकता हूँ,क्या मैं आपके किसी और सर अता कर सकूं,step_2500/greedy/seed_4107/step2500_greedy_seed4107_03_further_assistance.wav,success,0.5271224975585938,0.5555555555555556,0.225,0.4444444444444444,0.775
2500,greedy,4107,4,धन्यवाद! आपका दिन शुभ हो।,तन्नावाद आपगा दिन शेह है।,धन्यवाद आपका दिन शुभ हो,तन्नावाद आपगा दिन शेह है,step_2500/greedy/seed_4107/step2500_greedy_seed4107_04_thank_you.wav,success,0.4865715503692627,0.8,0.30434782608695654,0.19999999999999996,0.6956521739130435
2500,greedy,4107,5,कृपया अपना ऑर्डर नंबर बताइए।,कुरेपया अपना आडरन मर बठलाई थे।,कृपया अपना ऑर्डर नंबर बताइए,कुरेपया अपना आडरन मर बठलाई थे,step_2500/greedy/seed_4107/step2500_greedy_seed4107_05_order_number.wav,success,0.523430347442627,1.0,0.5555555555555556,0.0,0.4444444444444444
2500,greedy,5107,1,"नमस्ते, आपका ऑर्डर सफलतापूर्वक भेज दिया गया है।",नमस्ति आपका आजड़िय बहुग घरे दिया गया गया हा।,नमस्ते आपका ऑर्डर सफलतापूर्वक भेज दिया गया है,नमस्ति आपका आजड़िय बहुग घरे दिया गया गया हा,step_2500/greedy/seed_5107/step2500_greedy_seed5107_01_namaste_order_sent.wav,success,0.6242153644561768,0.75,0.5333333333333333,0.25,0.4666666666666667
2500,greedy,5107,2,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा।,आनका रिल्म धन्नने पांच चकारेदों में आपके खाते में दबे ले जई आई गरे आई।,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा,आनका रिल्म धन्नने पांच चकारेदों में आपके खाते में दबे ले जई आई गरे आई,step_2500/greedy/seed_5107/step2500_greedy_seed5107_02_refund_status.wav,success,0.7746434211730957,0.8571428571428571,0.4782608695652174,0.1428571428571429,0.5217391304347826
2500,greedy,5107,3,क्या मैं आपकी किसी और सहायता कर सकता हूँ?,क्या मैं आपके किसी और सर अता कर सकूं।,क्या मैं आपकी किसी और सहायता कर सकता हूँ,क्या मैं आपके किसी और सर अता कर सकूं,step_2500/greedy/seed_5107/step2500_greedy_seed5107_03_further_assistance.wav,success,0.511145830154419,0.5555555555555556,0.225,0.4444444444444444,0.775
2500,greedy,5107,4,धन्यवाद! आपका दिन शुभ हो।,तन्नावाद आपगा दिन शेह है।,धन्यवाद आपका दिन शुभ हो,तन्नावाद आपगा दिन शेह है,step_2500/greedy/seed_5107/step2500_greedy_seed5107_04_thank_you.wav,success,0.48772311210632324,0.8,0.30434782608695654,0.19999999999999996,0.6956521739130435
2500,greedy,5107,5,कृपया अपना ऑर्डर नंबर बताइए।,कुरेपया अपना आडरन मर बठलाई थे।,कृपया अपना ऑर्डर नंबर बताइए,कुरेपया अपना आडरन मर बठलाई थे,step_2500/greedy/seed_5107/step2500_greedy_seed5107_05_order_number.wav,success,0.5329880714416504,1.0,0.5555555555555556,0.0,0.4444444444444444
2500,focused,3407,1,"नमस्ते, आपका ऑर्डर सफलतापूर्वक भेज दिया गया है।",नमस्ति आपका बर्ड रुकोग घरदाप उर्वक भे दिया गया है।,नमस्ते आपका ऑर्डर सफलतापूर्वक भेज दिया गया है,नमस्ति आपका बर्ड रुकोग घरदाप उर्वक भे दिया गया है,step_2500/focused/seed_3407/step2500_focused_seed3407_01_namaste_order_sent.wav,success,0.6548306941986084,0.75,0.3111111111111111,0.25,0.6888888888888889
2500,focused,3407,2,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा।,आपका रिल्म नरे पांच कार्य दोनु में आपके खाते में दम कर दिया जाएगे गए,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा,आपका रिल्म नरे पांच कार्य दोनु में आपके खाते में दम कर दिया जाएगे गए,step_2500/focused/seed_3407/step2500_focused_seed3407_02_refund_status.wav,success,0.7488276958465576,0.5,0.2608695652173913,0.5,0.7391304347826086
2500,focused,3407,3,क्या मैं आपकी किसी और सहायता कर सकता हूँ?,क्या मैं आपकी किसी और सार्टा कर सकता हूँ,क्या मैं आपकी किसी और सहायता कर सकता हूँ,क्या मैं आपकी किसी और सार्टा कर सकता हूँ,step_2500/focused/seed_3407/step2500_focused_seed3407_03_further_assistance.wav,success,0.5408651828765869,0.1111111111111111,0.1,0.8888888888888888,0.9
2500,focused,3407,4,धन्यवाद! आपका दिन शुभ हो।,तन रहा आधा देन शावा हत।,धन्यवाद आपका दिन शुभ हो,तन रहा आधा देन शावा हत,step_2500/focused/seed_3407/step2500_focused_seed3407_04_thank_you.wav,success,0.4788045883178711,1.2,0.5217391304347826,0.0,0.4782608695652174
2500,focused,3407,5,कृपया अपना ऑर्डर नंबर बताइए।,पुरिप्या पाकर और मन बर जेज्ट न बतलेक।,कृपया अपना ऑर्डर नंबर बताइए,पुरिप्या पाकर और मन बर जेज्ट न बतलेक,step_2500/focused/seed_3407/step2500_focused_seed3407_05_order_number.wav,success,0.5753090381622314,1.6,0.8888888888888888,0.0,0.11111111111111116
2500,focused,4107,1,"नमस्ते, आपका ऑर्डर सफलतापूर्वक भेज दिया गया है।","नमस्ते, आका और वडुंक, खर दक, उर्वक भेट दिया गया है।",नमस्ते आपका ऑर्डर सफलतापूर्वक भेज दिया गया है,नमस्ते आका और वडुंक खर दक उर्वक भेट दिया गया है,step_2500/focused/seed_4107/step2500_focused_seed4107_01_namaste_order_sent.wav,success,0.6504673957824707,0.875,0.3333333333333333,0.125,0.6666666666666667
2500,focused,4107,2,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा।,आपका रिल्म करंदे पांच कार्य दोन में आपके खाते में दब़ कर दिया जाएगे।,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा,आपका रिल्म करंदे पांच कार्य दोन में आपके खाते में दब़ कर दिया जाएगे,step_2500/focused/seed_4107/step2500_focused_seed4107_02_refund_status.wav,success,0.7438793182373047,0.42857142857142855,0.2318840579710145,0.5714285714285714,0.7681159420289855
2500,focused,4107,3,क्या मैं आपकी किसी और सहायता कर सकता हूँ?,क्या मैं आपकी किसी और सरता कर सक हूँ?,क्या मैं आपकी किसी और सहायता कर सकता हूँ,क्या मैं आपकी किसी और सरता कर सक हूँ,step_2500/focused/seed_4107/step2500_focused_seed4107_03_further_assistance.wav,success,0.5225980281829834,0.2222222222222222,0.125,0.7777777777777778,0.875
2500,focused,4107,4,धन्यवाद! आपका दिन शुभ हो।,धन्नाबाद आपका दिन शरहिट है।,धन्यवाद आपका दिन शुभ हो,धन्नाबाद आपका दिन शरहिट है,step_2500/focused/seed_4107/step2500_focused_seed4107_04_thank_you.wav,success,0.5151534080505371,0.6,0.34782608695652173,0.4,0.6521739130434783
2500,focused,4107,5,कृपया अपना ऑर्डर नंबर बताइए।,कुरप्याहाद दामपारदर नंबर बठलाईक।,कृपया अपना ऑर्डर नंबर बताइए,कुरप्याहाद दामपारदर नंबर बठलाईक,step_2500/focused/seed_4107/step2500_focused_seed4107_05_order_number.wav,success,0.5949082374572754,0.8,0.6296296296296297,0.19999999999999996,0.37037037037037035
2500,focused,5107,1,"नमस्ते, आपका ऑर्डर सफलतापूर्वक भेज दिया गया है।",नमस्ती अपका दर्व जड़ गरदाप उर्वक बेदिया गया है।,नमस्ते आपका ऑर्डर सफलतापूर्वक भेज दिया गया है,नमस्ती अपका दर्व जड़ गरदाप उर्वक बेदिया गया है,step_2500/focused/seed_5107/step2500_focused_seed5107_01_namaste_order_sent.wav,success,0.6590688228607178,0.875,0.35555555555555557,0.125,0.6444444444444444
2500,focused,5107,2,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा।,अगार रिल्म दरने पांच कारेदों में आपके खाते में दमार कर दिया जाएगे बे।,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा,अगार रिल्म दरने पांच कारेदों में आपके खाते में दमार कर दिया जाएगे बे,step_2500/focused/seed_5107/step2500_focused_seed5107_02_refund_status.wav,success,0.7617847919464111,0.6428571428571429,0.3333333333333333,0.3571428571428571,0.6666666666666667
2500,focused,5107,3,क्या मैं आपकी किसी और सहायता कर सकता हूँ?,क्या मैं आपकी किसी और सर्याटा कर सक हूँ?,क्या मैं आपकी किसी और सहायता कर सकता हूँ,क्या मैं आपकी किसी और सर्याटा कर सक हूँ,step_2500/focused/seed_5107/step2500_focused_seed5107_03_further_assistance.wav,success,0.5405688285827637,0.2222222222222222,0.15,0.7777777777777778,0.85
2500,focused,5107,4,धन्यवाद! आपका दिन शुभ हो।,धन्नाई आताइठ धिन्शौर है।,धन्यवाद आपका दिन शुभ हो,धन्नाई आताइठ धिन्शौर है,step_2500/focused/seed_5107/step2500_focused_seed5107_04_thank_you.wav,success,0.4942302703857422,1.0,0.5217391304347826,0.0,0.4782608695652174
2500,focused,5107,5,कृपया अपना ऑर्डर नंबर बताइए।,करियप या अपना आजर नंबर बलाई थे।,कृपया अपना ऑर्डर नंबर बताइए,करियप या अपना आजर नंबर बलाई थे,step_2500/focused/seed_5107/step2500_focused_seed5107_05_order_number.wav,success,0.5391645431518555,1.0,0.48148148148148145,0.0,0.5185185185185186
2500,moderate,3407,1,"नमस्ते, आपका ऑर्डर सफलतापूर्वक भेज दिया गया है।",नमसिदी आपका अड़र्ट अध्यापूर्वक बेजीर दिया गया है।,नमस्ते आपका ऑर्डर सफलतापूर्वक भेज दिया गया है,नमसिदी आपका अड़र्ट अध्यापूर्वक बेजीर दिया गया है,step_2500/moderate/seed_3407/step2500_moderate_seed3407_01_namaste_order_sent.wav,success,0.6875209808349609,0.5,0.3333333333333333,0.5,0.6666666666666667
2500,moderate,3407,2,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा।,आकारेशन धरी पांच कार्यों देडों में आके खाते में दवा कर दिया जैयान तै,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा,आकारेशन धरी पांच कार्यों देडों में आके खाते में दवा कर दिया जैयान तै,step_2500/moderate/seed_3407/step2500_moderate_seed3407_02_refund_status.wav,success,0.7217333316802979,0.7142857142857143,0.36231884057971014,0.2857142857142857,0.6376811594202898
2500,moderate,3407,3,क्या मैं आपकी किसी और सहायता कर सकता हूँ?,क्या मैं आपकी किसी और सर हता कर सक हूँ।,क्या मैं आपकी किसी और सहायता कर सकता हूँ,क्या मैं आपकी किसी और सर हता कर सक हूँ,step_2500/moderate/seed_3407/step2500_moderate_seed3407_03_further_assistance.wav,success,0.5227460861206055,0.3333333333333333,0.125,0.6666666666666667,0.875
2500,moderate,3407,4,धन्यवाद! आपका दिन शुभ हो।,तन तन पाद आया पदिन्शेह थे।,धन्यवाद आपका दिन शुभ हो,तन तन पाद आया पदिन्शेह थे,step_2500/moderate/seed_3407/step2500_moderate_seed3407_04_thank_you.wav,success,0.4981558322906494,1.2,0.6086956521739131,0.0,0.3913043478260869
2500,moderate,3407,5,कृपया अपना ऑर्डर नंबर बताइए।,कर पिया अपना आपना दन्मार बदलेब।,कृपया अपना ऑर्डर नंबर बताइए,कर पिया अपना आपना दन्मार बदलेब,step_2500/moderate/seed_3407/step2500_moderate_seed3407_05_order_number.wav,success,0.5300605297088623,1.0,0.5925925925925926,0.0,0.40740740740740744
2500,moderate,4107,1,"नमस्ते, आपका ऑर्डर सफलतापूर्वक भेज दिया गया है।",नमसे आपका आर्बर फ्रुक भुर्वगों की धिया गया है।,नमस्ते आपका ऑर्डर सफलतापूर्वक भेज दिया गया है,नमसे आपका आर्बर फ्रुक भुर्वगों की धिया गया है,step_2500/moderate/seed_4107/step2500_moderate_seed4107_01_namaste_order_sent.wav,success,0.624661922454834,0.75,0.4222222222222222,0.25,0.5777777777777777
2500,moderate,4107,2,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा।,आतकारेल मनललम बिये पांच कार्य दोनों में आपके खाते में तबा कर दिया जाए गए।,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा,आतकारेल मनललम बिये पांच कार्य दोनों में आपके खाते में तबा कर दिया जाए गए,step_2500/moderate/seed_4107/step2500_moderate_seed4107_02_refund_status.wav,success,0.7498462200164795,0.5714285714285714,0.2898550724637681,0.4285714285714286,0.7101449275362319
2500,moderate,4107,3,क्या मैं आपकी किसी और सहायता कर सकता हूँ?,क्या मैप की किसी और सर अताकर सा हूँ,क्या मैं आपकी किसी और सहायता कर सकता हूँ,क्या मैप की किसी और सर अताकर सा हूँ,step_2500/moderate/seed_4107/step2500_moderate_seed4107_03_further_assistance.wav,success,0.5161824226379395,0.5555555555555556,0.225,0.4444444444444444,0.775
2500,moderate,4107,4,धन्यवाद! आपका दिन शुभ हो।,धर्ना आधा दिन शहे।,धन्यवाद आपका दिन शुभ हो,धर्ना आधा दिन शहे,step_2500/moderate/seed_4107/step2500_moderate_seed4107_04_thank_you.wav,success,0.429868221282959,0.8,0.43478260869565216,0.19999999999999996,0.5652173913043479
2500,moderate,4107,5,कृपया अपना ऑर्डर नंबर बताइए।,कुरपिया अपना आडर नाम बढ़ बियो छबे।,कृपया अपना ऑर्डर नंबर बताइए,कुरपिया अपना आडर नाम बढ़ बियो छबे,step_2500/moderate/seed_4107/step2500_moderate_seed4107_05_order_number.wav,success,0.5536379814147949,1.2,0.6666666666666666,0.0,0.33333333333333337
2500,moderate,5107,1,"नमस्ते, आपका ऑर्डर सफलतापूर्वक भेज दिया गया है।",नमस्ति आपका अर्डिर घर वेता पूर्वग बेद दिया गया है।,नमस्ते आपका ऑर्डर सफलतापूर्वक भेज दिया गया है,नमस्ति आपका अर्डिर घर वेता पूर्वग बेद दिया गया है,step_2500/moderate/seed_5107/step2500_moderate_seed5107_01_namaste_order_sent.wav,success,0.6528670787811279,0.75,0.26666666666666666,0.25,0.7333333333333334
2500,moderate,5107,2,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा।,आपकारिध हिल दरे पांच कारिधोनों में आपके खर्यते में दापर दिया जियाईव।,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा,आपकारिध हिल दरे पांच कारिधोनों में आपके खर्यते में दापर दिया जियाईव,step_2500/moderate/seed_5107/step2500_moderate_seed5107_02_refund_status.wav,success,0.7611563205718994,0.7142857142857143,0.42028985507246375,0.2857142857142857,0.5797101449275363
2500,moderate,5107,3,क्या मैं आपकी किसी और सहायता कर सकता हूँ?,क्या मा मैं आपकी किसी और सरव्ब्र कर सकता हूँ,क्या मैं आपकी किसी और सहायता कर सकता हूँ,क्या मा मैं आपकी किसी और सरव्ब्र कर सकता हूँ,step_2500/moderate/seed_5107/step2500_moderate_seed5107_03_further_assistance.wav,success,0.5546703338623047,0.2222222222222222,0.225,0.7777777777777778,0.775
2500,moderate,5107,4,धन्यवाद! आपका दिन शुभ हो।,धन्ठाइड आपका दिन शल्व होड़।,धन्यवाद आपका दिन शुभ हो,धन्ठाइड आपका दिन शल्व होड़,step_2500/moderate/seed_5107/step2500_moderate_seed5107_04_thank_you.wav,success,0.5170252323150635,0.6,0.391304347826087,0.4,0.6086956521739131
